id,name,type,active,stages,cost_per_launch,success_rate,first_flight,height_m,diameter_m,mass_kg,description
5e9d0d95eda69955f709d1eb,Falcon 1,rocket,0,2,6700000,40,2006-03-24,22.25,1.68,30146,"The Falcon 1 was an expendable launch system privately developed and manufactured by SpaceX during 2006-2009. On 28 September 2008, Falcon 1 became the first privately-developed liquid-fuel launch vehicle to go into orbit around the Earth."
5e9d0d95eda69973a809d1ec,Falcon 9,rocket,1,2,50000000,98,2010-06-04,70,3.7,549054,Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit.
5e9d0d95eda69974db09d1ed,Falcon Heavy,rocket,1,2,90000000,100,2018-02-06,70,12.2,1420788,"With the ability to lift into orbit over 54 metric tons (119,000 lb)--a mass equivalent to a 737 jetliner loaded with passengers, crew, luggage and fuel--Falcon Heavy can lift more than twice the payload of the next closest operational vehicle, the Delta IV Heavy, at one-third the cost."
5e9d0d96eda699382d09d1ee,Starship,rocket,0,2,7000000,0,2021-12-01,118,9,1335000,"Starship and Super Heavy Rocket represent a fully reusable transportation system designed to service all Earth orbit needs as well as the Moon and Mars. This two-stage vehicle — composed of the Super Heavy rocket (booster) and Starship (ship) — will eventually replace Falcon 9, Falcon Heavy and Dragon."
